data_pubblicazione,data_validita_inizio,data_validita_fine,zona_codice,avviso_criticita,avviso_idrogeologico,avviso_temporali,avviso_idraulico
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-A,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-B,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-D1,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-D2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Abru-E,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-A1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-A2,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-C,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-D,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-E1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Basi-E2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-10-26T17:16:59+02:00,2023-10-27T00:00:00+02:00,2023-10-27T23:59:59+02:00,Cala-1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA
