data_pubblicazione,data_validita_inizio,data_validita_fine,zona_codice,avviso_criticita,avviso_idrogeologico,avviso_temporali,avviso_idraulico
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-A,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-B,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-D1,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-D2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Abru-E,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-A1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-A2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-D,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-E1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Basi-E2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-3,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-4,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-5,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-6,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-7,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Cala-8,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-3,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-4,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-5,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-6,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-7,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Camp-8,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-A1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-A2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-B1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-B2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-C1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-C2,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-D1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-D2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-D3,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-E1,Moderata per rischio idraulico / ALLERTA ARANCIONE,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Moderata / ALLERTA ARANCIONE
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-E2,Moderata per rischio idraulico / ALLERTA ARANCIONE,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Moderata / ALLERTA ARANCIONE
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-F1,Moderata per rischio idraulico / ALLERTA ARANCIONE,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Moderata / ALLERTA ARANCIONE
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-F2,Moderata per rischio idraulico / ALLERTA ARANCIONE,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Moderata / ALLERTA ARANCIONE
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-F3,Moderata per rischio idraulico / ALLERTA ARANCIONE,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Moderata / ALLERTA ARANCIONE
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-G1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-G2,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-H1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Emil-H2,Ordinaria per rischio idraulico / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Friu-A,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Friu-B,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Friu-C,Ordinaria per rischio idraulico / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Friu-D,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-A,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-B,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-C,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-D,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-E,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-F,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Lazi-G,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Ligu-A,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Ligu-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-04-01T14:42:59+02:00,2024-04-01T14:42:59+02:00,2024-04-01T23:59:59+02:00,Ligu-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
