data_pubblicazione,data_validita_inizio,data_validita_fine,zona_codice,avviso_criticita,avviso_idrogeologico,avviso_temporali,avviso_idraulico
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-A,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-B,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-C,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-D1,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-D2,Ordinaria per rischio idrogeologico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Abru-E,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Basi-A1,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Basi-A2,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Basi-B,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2023-06-13T15:50:59+02:00,2023-06-13T15:50:59+02:00,2023-06-13T23:59:59+02:00,Basi-C,Ordinaria per rischio temporali / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
