data_pubblicazione,data_validita_inizio,data_validita_fine,zona_codice,avviso_criticita,avviso_idrogeologico,avviso_temporali,avviso_idraulico
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-A,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-B,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-C,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-D1,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-D2,Ordinaria per rischio temporali / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Abru-E,Ordinaria per rischio idraulico / ALLERTA GIALLA,Ordinaria / ALLERTA GIALLA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Ordinaria / ALLERTA GIALLA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Basi-A1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Basi-A2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Basi-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Basi-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2024-10-07T15:44:59+02:00,2024-10-08T00:00:00+02:00,2024-10-08T23:59:59+02:00,Basi-D,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
